Circuit_ID,Driver_ID,Team_ID,Position,Starting Grid,Laps,Time/Retired,Points,Fastest Lap,Year,Total Time/Gap/Retirement,+1 Pt,Set Fastest Lap,Fastest Lap Time
9,10,7,9,9.0,52,+89.340,2,1:38.407,2014,,,,
9,9,7,10,10.0,51,+1 lap,1,1:39.261,2014,,,,
9,11,6,11,7.0,51,+1 lap,0,1:38.716,2014,,,,
9,16,10,12,11.0,51,+1 lap,0,1:38.919,2014,,,,
9,12,8,13,13.0,51,+1 lap,0,1:40.041,2014,,,,
9,15,9,14,12.0,51,+1 lap,0,1:39.961,2014,,,,
9,22,11,15,22.0,50,+2 laps,0,1:41.462,2014,,,,
9,14,9,16,17.0,50,+2 laps,0,1:40.399,2014,,,,
9,17,10,17,20.0,49,DNF,0,1:40.314,2014,,,,
9,1,1,NC,1.0,28,DNF,0,1:38.091,2014,,,,
9,18,11,NC,21.0,11,DNF,0,1:44.319,2014,,,,
9,13,8,NC,19.0,9,DNF,0,1:42.566,2014,,,,
9,21,5,NC,15.0,0,DNF,0,,2014,,,,
9,8,4,NC,18.0,0,DNF,0,,2014,,,,
10,1,1,1,1.0,67,1:33:42.914,25,1:21.298,2014,,,,
10,6,5,2,2.0,67,+20.789,18,1:21.494,2014,,,,
10,20,1,3,20.0,67,+22.530,15,1:19.908,2014,,,,
10,19,2,4,6.0,67,+44.014,12,1:21.545,2014,,,,
10,5,4,5,7.0,67,+52.467,10,1:20.548,2014,,,,
10,2,2,6,5.0,67,+52.549,8,1:20.846,2014,,,,
10,7,6,7,9.0,67,+64.178,6,1:22.098,2014,,,,
10,4,3,8,11.0,67,+84.711,4,1:21.346,2014,,,,
10,3,3,9,4.0,66,+1 lap,2,1:20.224,2014,,,,
10,11,6,10,10.0,66,+1 lap,1,1:20.752,2014,,,,
10,8,4,11,12.0,66,+1 lap,0,1:21.338,2014,,,,
10,17,10,12,18.0,66,+1 lap,0,1:22.305,2014,,,,
10,9,7,13,13.0,66,+1 lap,0,1:21.876,2014,,,,
10,13,8,14,16.0,66,+1 lap,0,1:22.008,2014,,,,
10,15,9,15,17.0,66,+1 lap,0,1:22.522,2014,,,,
10,22,11,16,19.0,65,+2 laps,0,1:22.866,2014,,,,
10,14,9,17,21.0,65,+2 laps,0,1:23.035,2014,,,,
10,18,11,18,22.0,65,+2 laps,0,1:23.230,2014,,,,
10,12,8,NC,15.0,47,DNF,0,1:22.529,2014,,,,
10,10,7,NC,8.0,44,DNF,0,1:22.179,2014,,,,
10,16,10,NC,14.0,26,DNF,0,1:24.137,2014,,,,
10,21,5,NC,3.0,0,DNF,0,,2014,,,,
11,2,2,1,4.0,70,1:53:05.058,25,1:26.608,2014,,,,
11,5,4,2,5.0,70,+5.225,18,1:27.419,2014,,,,
11,20,1,3,21.0,70,+5.857,15,1:27.380,2014,,,,
11,1,1,4,1.0,70,+6.361,12,1:25.724,2014,,,,
11,21,5,5,6.0,70,+29.841,10,1:28.229,2014,,,,
11,8,4,6,16.0,70,+31.491,8,1:27.983,2014,,,,
11,19,2,7,2.0,70,+40.964,6,1:28.746,2014,,,,
11,6,5,8,3.0,70,+41.344,4,1:26.850,2014,,,,
11,9,7,9,8.0,70,+58.527,2,1:29.120,2014,,,,
11,4,3,10,7.0,70,+67.280,1,1:29.156,2014,,,,
11,12,8,11,11.0,70,+68.169,0,1:28.704,2014,,,,
11,3,3,12,22.0,70,+78.465,0,1:28.883,2014,,,,
11,17,10,13,20.0,70,+84.024,0,1:29.128,2014,,,,
11,10,7,14,10.0,69,+1 lap,0,1:29.401,2014,,,,
11,15,9,15,15.0,69,+1 lap,0,1:29.883,2014,,,,
11,14,9,16,18.0,69,+1 lap,0,1:29.499,2014,,,,
11,13,8,NC,13.0,32,DNF,0,1:30.485,2014,,,,
11,22,11,NC,17.0,24,DNF,0,1:32.888,2014,,,,
